layer,tracer,maxprime,event,freq,total_event_cost,cost_per_event
L1,lttng,10000,VMCALL,78,7250697056,92957654.56
L1,lttng,10000,PREEMPTION_TIMER,4,2772,693.0
L1,lttng,10000,EXTERNAL_INTERRUPT,6,2412,402.0
L1,lttng,10000,MSR_WRITE,4,2011,502.75
L1,lttng,10000,VMCALL,6,7267057779,1211176296.5
L1,lttng,10000,EPT_MISCONFIG,3,24541,8180.33
L1,lttng,10000,VMCALL,7,18158991,2594141.57
L1,lttng,10000,CPUID,14,4792,342.29
L1,lttng,10000,PREEMPTION_TIMER,1,1378,1378.0
L1,lttng,10000,EXTERNAL_INTERRUPT,1,1005,1005.0
L1,lttng,10000,MSR_WRITE,1,830,830.0
L1,lttng,10000,VMCALL,26,200524325,7712474.04
L1,lttng,10000,CPUID,14,4275,305.36
L1,lttng,10000,EXTERNAL_INTERRUPT,2,1766,883.0
L1,lttng,10000,PREEMPTION_TIMER,1,1248,1248.0
L1,lttng,10000,MSR_WRITE,1,943,943.0

L1,sysbench,10000,VMCALL,19,7037709339,370405754.68
L1,sysbench,10000,EPT_VIOLATION,5,12788,2557.6
L1,sysbench,10000,CPUID,14,4358,311.29
L1,sysbench,10000,EXTERNAL_INTERRUPT,5,2511,502.2
L1,sysbench,10000,PREEMPTION_TIMER,1,1150,1150.0
L1,sysbench,10000,MSR_WRITE,1,834,834.0
L1,sysbench,10000,VMCALL,101,2205115,21832.82
L1,sysbench,10000,PREEMPTION_TIMER,1763,1061286,601.98
L1,sysbench,10000,EXTERNAL_INTERRUPT,1780,701371,394.03
L1,sysbench,10000,MSR_WRITE,1763,669833,379.94

L1,sysbench,20000,VMCALL,19,18122160546,953797923.47
L1,sysbench,20000,CPUID,14,4318,308.43
L1,sysbench,20000,EXTERNAL_INTERRUPT,3,2079,693.0
L1,sysbench,20000,VMCALL,237,4691272,19794.4
L1,sysbench,20000,PREEMPTION_TIMER,4538,2515092,554.23
L1,sysbench,20000,MSR_WRITE,4538,1633713,360.01
L1,sysbench,20000,EXTERNAL_INTERRUPT,4568,1364065,298.61
L1,sysbench,20000,EXCEPTION_NMI,1,357,357.0
L1,lttng,20000,VMCALL,6,16740655,2790109.17
L1,lttng,20000,CPUID,14,4463,318.79
L1,lttng,20000,EXTERNAL_INTERRUPT,1,1212,1212.0
L1,lttng,20000,PREEMPTION_TIMER,1,1211,1211.0
L1,lttng,20000,MSR_WRITE,1,738,738.0
L1,lttng,20000,VMCALL,25,200534069,8021362.76
L1,lttng,20000,EXTERNAL_INTERRUPT,3,17087,5695.67
L1,lttng,20000,CPUID,14,4520,322.86
L1,lttng,20000,VMCALL,78,18334224247,235054157.01
L1,lttng,20000,PREEMPTION_TIMER,5,3623,724.6
L1,lttng,20000,EXTERNAL_INTERRUPT,5,2744,548.8
L1,lttng,20000,MSR_WRITE,5,2559,511.8
L1,lttng,20000,VMCALL,6,18350461980,3058410330.0
L1,lttng,20000,EPT_MISCONFIG,3,7105,2368.33


L1,dd,20170811,VMCALL,2001,1669243007,834204.4
L1,dd,20170811,EPT_MISCONFIG,999,1398394,1399.79
L1,dd,20170811,PREEMPTION_TIMER,4,2940,735.0
L1,dd,20170811,CPUID,7,2936,419.43
L1,dd,20170811,MSR_WRITE,5,2157,431.4
L1,dd,20170811,EXTERNAL_INTERRUPT,4,1236,309.0
L1,dd,20170811,PENDING_INTERRUPT,2,676,338.0
L1,lttng,20170811,VMCALL,6,17050154,2841692.33
L1,lttng,20170811,CPUID,14,4269,304.93
L1,lttng,20170811,EXTERNAL_INTERRUPT,1,1038,1038.0
L1,lttng,20170811,VMCALL,25,200615777,8024631.08
L1,lttng,20170811,CPUID,14,4824,344.57
L1,lttng,20170811,EXTERNAL_INTERRUPT,2,1417,708.5
L1,lttng,20170811,VMCALL,79,2007848908,25415808.96
L1,lttng,20170811,EXTERNAL_INTERRUPT,9,38469,4274.33
L1,lttng,20170811,PREEMPTION_TIMER,4,2911,727.75
L1,lttng,20170811,MSR_WRITE,4,1983,495.75
L1,lttng,20170811,VMCALL,8,2024262212,253032776.5
L1,lttng,20170811,EPT_MISCONFIG,4,6763,1690.75
L1,lttng,20170811,VMCALL,34,2021843583,59465987.74
L1,lttng,20170811,EPT_MISCONFIG,38,36724,966.42
L1,lttng,20170811,EXTERNAL_INTERRUPT,24,16680,695.0
L1,lttng,20170811,PENDING_INTERRUPT,5,2503,500.6
L1,lttng,20170811,VMCALL,17,2024244692,119073217.18
L1,lttng,20170811,VMCALL,1,0,0.0