type,workload,time
baseline,cpu,1378.49
baseline,cpu,1375.32
baseline,cpu,1376.17
baseline,cpu,1382.46
baseline,cpu,1375.28
baseline,cpu,1379.26
baseline,cpu,1385.10
baseline,cpu,1381.42
baseline,cpu,1390.52
baseline,cpu,1389.78

multi_level,cpu,1423.16
multi_level,cpu,1420.07
multi_level,cpu,1427.54
multi_level,cpu,1423.08
multi_level,cpu,1436.52
multi_level,cpu,1433.72
multi_level,cpu,1421.68
multi_level,cpu,1432.97
multi_level,cpu,1430.47
multi_level,cpu,1431.55

shared_memory,cpu,1412.01
shared_memory,cpu,1410.37
shared_memory,cpu,1406.95
shared_memory,cpu,1434.64
shared_memory,cpu,1429.91
shared_memory,cpu,1419.88
shared_memory,cpu,1419.42
shared_memory,cpu,1428.01
shared_memory,cpu,1419.75
shared_memory,cpu,1433.32

hypercall,cpu,1425.31
hypercall,cpu,1423.37
hypercall,cpu,1427.72
hypercall,cpu,1436.72
hypercall,cpu,1437.64
hypercall,cpu,1435.87
hypercall,cpu,1428.37
hypercall,cpu,1434.14
hypercall,cpu,1426.10
hypercall,cpu,1424.07
hypercall,cpu,1433.52
hypercall,cpu,1431.06
hypercall,cpu,1430.75
hypercall,cpu,1425.31
hypercall,cpu,1427.63
hypercall,cpu,1433.78


hypercall_batching,cpu,1417.85
hypercall_batching,cpu,1432.59
hypercall_batching,cpu,1439.93
hypercall_batching,cpu,1430.52
hypercall_batching,cpu,1429.04
hypercall_batching,cpu,1418.70
hypercall_batching,cpu,1427.67
hypercall_batching,cpu,1426.92
hypercall_batching,cpu,1433.12
hypercall_batching,cpu,1420.62
hypercall_batching,cpu,1416.05
hypercall_batching,cpu,1414.40
hypercall_batching,cpu,1431.76
hypercall_batching,cpu,1425.70
hypercall_batching,cpu,1433.95
hypercall_batching,cpu,1423.64



baseline,memory,0.5288
baseline,memory,0.5253
baseline,memory,0.5254
baseline,memory,0.5259
baseline,memory,0.5252
baseline,memory,0.5266
baseline,memory,0.5255
baseline,memory,0.5236

shared_memory,memory,0.5312
shared_memory,memory,0.5407
shared_memory,memory,0.5415
shared_memory,memory,0.5364
shared_memory,memory,0.5300
shared_memory,memory,0.5420
shared_memory,memory,0.5433
shared_memory,memory,0.5369
shared_memory,memory,0.5367
shared_memory,memory,0.5366

multi_level,memory,0.5654
multi_level,memory,0.5374
multi_level,memory,0.5398
multi_level,memory,0.5432
multi_level,memory,0.5356
multi_level,memory,0.5304
multi_level,memory,0.5277
multi_level,memory,0.5352
multi_level,memory,0.5322

hypercall,memory,0.5290
hypercall,memory,0.5288
hypercall,memory,0.5375
hypercall,memory,0.5264
hypercall,memory,0.5304
hypercall,memory,0.5328
hypercall,memory,0.5297
hypercall,memory,0.5287
hypercall,memory,0.5264
hypercall,memory,0.5258
hypercall,memory,0.5322
hypercall,memory,0.5348
hypercall,memory,0.5380
hypercall,memory,0.5468
hypercall,memory,0.5385
hypercall,memory,0.5422
hypercall,memory,0.5585
hypercall,memory,0.5403
hypercall,memory,0.5329
hypercall,memory,0.5402
hypercall,memory,0.5377
hypercall,memory,0.5346
hypercall,memory,0.5404
hypercall,memory,0.5320
hypercall,memory,0.5394
hypercall,memory,0.5340
hypercall,memory,0.5860
hypercall,memory,0.5353

hypercall_batching,memory,0.5429
hypercall_batching,memory,0.5445
hypercall_batching,memory,0.5636
hypercall_batching,memory,0.5351
hypercall_batching,memory,0.5353
hypercall_batching,memory,0.5445
hypercall_batching,memory,0.5516
hypercall_batching,memory,0.5441
hypercall_batching,memory,0.5393
hypercall_batching,memory,0.5350
hypercall_batching,memory,0.5326
hypercall_batching,memory,0.5488
hypercall_batching,memory,0.5344
hypercall_batching,memory,0.5382
hypercall_batching,memory,0.5344
hypercall_batching,memory,0.5354
hypercall_batching,memory,0.5380
hypercall_batching,memory,0.5391
hypercall_batching,memory,0.5302


baseline,io,0.0507
baseline,io,0.0534
baseline,io,0.0519
baseline,io,0.0530
baseline,io,0.0529

multi_level,io,0.0581
multi_level,io,0.0591
multi_level,io,0.0582
multi_level,io,0.0586
multi_level,io,0.0571

shared_memory,io,0.0585
shared_memory,io,0.0547
shared_memory,io,0.0544
shared_memory,io,0.0555
shared_memory,io,0.0567

hypercall,io,0.0751
hypercall,io,0.0765
hypercall,io,0.0736
hypercall,io,0.0711
hypercall,io,0.0687
hypercall,io,0.0727
hypercall,io,0.0713

hypercall_batching,io,0.0638
hypercall_batching,io,0.0677
hypercall_batching,io,0.0645
hypercall_batching,io,0.0653
hypercall_batching,io,0.0666